game_id,game_name_abbr,index,type,inversed
697d1de9-d140-4e21-9269-6de08443f784,SSTMS,mean_span,exclude,
697d1de9-d140-4e21-9269-6de08443f784,SSTMS,nc,acc,1
71d62d15-c149-4a3a-82f5-fa16d722463f,SSTM,max_span,exclude,
71d62d15-c149-4a3a-82f5-fa16d722463f,SSTM,mean_span,exclude,
71d62d15-c149-4a3a-82f5-fa16d722463f,SSTM,nc,acc,1
539f4c20-7800-4444-8871-1ef833628a6d,SSTMSpd,max_span,exclude,
539f4c20-7800-4444-8871-1ef833628a6d,SSTMSpd,mean_span,exclude,
539f4c20-7800-4444-8871-1ef833628a6d,SSTMSpd,nc,exclude,
c175b435-27ed-4eac-9f98-00b4d2f22838,SCSpan,max_span,exclude,
c175b435-27ed-4eac-9f98-00b4d2f22838,SCSpan,mean_span,exclude,
c175b435-27ed-4eac-9f98-00b4d2f22838,SCSpan,nc,acc,1
7cb86e74-810d-45a3-ba3c-8b8a9dc6dc1c,FWS,max_span,exclude,
7cb86e74-810d-45a3-ba3c-8b8a9dc6dc1c,FWS,mean_span,exclude,
7cb86e74-810d-45a3-ba3c-8b8a9dc6dc1c,FWS,nc,acc,1
393b69dc-c995-45ae-9a8d-c65b18eb659b,MOT,max_span,exclude,
393b69dc-c995-45ae-9a8d-c65b18eb659b,MOT,mean_span,exclude,
393b69dc-c995-45ae-9a8d-c65b18eb659b,MOT,nc,acc,1
5134b80a-945f-452e-b6cc-3c2b01295120,MOT2,max_span,exclude,
5134b80a-945f-452e-b6cc-3c2b01295120,MOT2,mean_span,exclude,
5134b80a-945f-452e-b6cc-3c2b01295120,MOT2,nc,acc,1
6ca66b83-d5ef-47ad-8977-6c114598ae2e,MOTS,max_span,exclude,
6ca66b83-d5ef-47ad-8977-6c114598ae2e,MOTS,mean_span,exclude,
6ca66b83-d5ef-47ad-8977-6c114598ae2e,MOTS,nc,exclude,
933d51d5-49de-454a-bb7b-a9481f7244f0,CalcMed,nc,acc,0
b3886679-7004-4581-8cb4-bdd0b5ddc055,NumSets,nc,acc,0
5c9e7f8b-41a1-4b31-9d94-63be74e5d806,NLEMed,mean_abs_err,exclude,
5c9e7f8b-41a1-4b31-9d94-63be74e5d806,NLEMed,mean_log_err,dist,1
6d16b4e2-cb8a-4fe7-be67-17aca93ababf,NsymNCmp,mrt,exclude,
